run_id	train_energy	valid_energy	test_energy	total_energy	v_map@5	v_ndcg@5	v_prec@5	v_recall@5	v_map@10	v_ndcg@10	v_prec@10	v_recall@10	v_map@20	v_ndcg@20	v_prec@20	v_recall@20	v_map@50	v_ndcg@50	v_prec@50	v_recall@50	t_map@5	t_ndcg@5	t_prec@5	t_recall@5	t_map@10	t_ndcg@10	t_prec@10	t_recall@10	t_map@20	t_ndcg@20	t_prec@20	t_recall@20	t_map@50	t_ndcg@50	t_prec@50	t_recall@50
BPR-baby(883, 0.0001, T+I)	0.0032035564519350725	0.02157391569748183	0.16717404803609354	0.19195152018551043	0.0114	0.0142	0.0048	0.0211	0.0132	0.0187	0.0039	0.0348	0.0146	0.0236	0.0029	0.0548	0.0161	0.0330	0.0022	0.1024	0.0114	0.0142	0.0048	0.0211	0.0132	0.0187	0.0039	0.0348	0.0147	0.0243	0.0032	0.0567	0.0162	0.0339	0.0024	0.1044
BPR-baby(883, 0.001, T+I)	0.002675211550413262	0.02144317344411749	0.021465902362749756	0.045584287357280505	0.0114	0.0142	0.0048	0.0211	0.0132	0.0187	0.0039	0.0347	0.0146	0.0236	0.0029	0.0547	0.0161	0.0331	0.0022	0.1024	0.0114	0.0142	0.0048	0.0211	0.0132	0.0187	0.0039	0.0347	0.0147	0.0243	0.0032	0.0567	0.0162	0.0340	0.0024	0.1045
BPR-baby(883, 0.01, T+I)	0.0026260215634377965	0.094179476019462	0.021436777888723203	0.118242275471623	0.0118	0.0146	0.0049	0.0217	0.0136	0.0191	0.0040	0.0354	0.0147	0.0237	0.0030	0.0551	0.0162	0.0331	0.0022	0.1021	0.0118	0.0146	0.0049	0.0217	0.0136	0.0191	0.0040	0.0354	0.0150	0.0246	0.0032	0.0568	0.0165	0.0342	0.0024	0.1044
BPR-baby(883, 0.1, T+I)	0.002706002493974698	0.021979942170745864	0.021888885055561497	0.046574829720282054	0.0122	0.0153	0.0052	0.0231	0.0141	0.0200	0.0042	0.0376	0.0155	0.0250	0.0031	0.0582	0.0170	0.0347	0.0023	0.1067	0.0122	0.0153	0.0052	0.0231	0.0141	0.0200	0.0042	0.0376	0.0156	0.0258	0.0034	0.0598	0.0171	0.0355	0.0025	0.1078
VBPR-baby(883, 0.0001, T+I)	0.0077266160842367464	0.20267482844212392	0.1924074735406175	0.40280891806697816	0.0059	0.0074	0.0025	0.0110	0.0069	0.0100	0.0022	0.0191	0.0070	0.0120	0.0016	0.0292	0.0077	0.0162	0.0011	0.0502	0.0059	0.0074	0.0025	0.0110	0.0069	0.0100	0.0022	0.0191	0.0076	0.0126	0.0017	0.0293	0.0083	0.0173	0.0012	0.0525
VBPR-baby(883, 0.001, T+I)	0.004496488151933641	0.1028554351951004	0.029933087610469773	0.1372850109575038	0.0060	0.0075	0.0026	0.0112	0.0069	0.0097	0.0021	0.0179	0.0076	0.0125	0.0016	0.0294	0.0083	0.0166	0.0011	0.0502	0.0060	0.0075	0.0026	0.0112	0.0069	0.0097	0.0021	0.0179	0.0076	0.0124	0.0017	0.0281	0.0083	0.0169	0.0012	0.0506
VBPR-baby(883, 0.01, T+I)	0.006846813298350392	0.04542339674924817	0.19103412988243498	0.24330433993003353	0.0079	0.0099	0.0034	0.0152	0.0092	0.0131	0.0028	0.0251	0.0094	0.0161	0.0021	0.0395	0.0103	0.0222	0.0015	0.0702	0.0079	0.0099	0.0034	0.0152	0.0092	0.0131	0.0028	0.0251	0.0101	0.0168	0.0022	0.0392	0.0111	0.0232	0.0016	0.0709
VBPR-baby(883, 0.1, T+I)	0.004346079458260211	0.028997657159583884	0.02914688090958411	0.062490617527428204	0.0111	0.0138	0.0047	0.0211	0.0126	0.0177	0.0037	0.0329	0.0143	0.0235	0.0030	0.0557	0.0155	0.0317	0.0021	0.0972	0.0111	0.0138	0.0047	0.0211	0.0126	0.0177	0.0037	0.0329	0.0140	0.0227	0.0030	0.0521	0.0154	0.0318	0.0022	0.0971
FREEDOM-baby(883, 0.0001, 2, 2, T+I)	0.011655160559841237	0.1771733972668817	0.03138123912120409	0.220209796947927	0.0199	0.0249	0.0084	0.0383	0.0228	0.0323	0.0067	0.0607	0.0259	0.0410	0.0050	0.0945	0.0279	0.0543	0.0034	0.1611	0.0199	0.0249	0.0084	0.0383	0.0228	0.0323	0.0067	0.0607	0.0251	0.0408	0.0052	0.0942	0.0273	0.0548	0.0036	0.1635
FREEDOM-baby(883, 0.0001, 2, 3, T+I)	0.01472879433098477	0.039028579151529845	0.03894932604097415	0.09270669952348876	0.0196	0.0246	0.0083	0.0377	0.0227	0.0322	0.0068	0.0610	0.0262	0.0413	0.0050	0.0948	0.0282	0.0547	0.0034	0.1621	0.0196	0.0246	0.0083	0.0377	0.0227	0.0322	0.0068	0.0610	0.0250	0.0411	0.0053	0.0954	0.0272	0.0552	0.0037	0.1656
